Gross Domestic Product;;;;;;;8.30.17;
Percent change from preceding period;;;;;;;;
;;;;;;;;
Annual;;;;Quarterly;;;;
;;;;          (Seasonally adjusted annual rates);;;;
;;;;;;;;
;GDP percent change based on current dollars;GDP percent change based on chained 2009 dollars;;;GDP percent change based on current dollars;GDP percent change based on chained 2009 dollars;;
;;;;;;;;
;;;;;;;;
1930;-11.9;-8.5;;1947q2;5.3;-0.4;;
1931;-16.0;-6.4;;1947q3;6.4;-0.4;;
1932;-23.1;-12.9;;1947q4;17.3;6.4;;
1933;-4.0;-1.3;;1948q1;9.3;6.0;;
1934;16.9;10.8;;1948q2;10.5;6.7;;
1935;11.1;8.9;;1948q3;10.0;2.3;;
1936;14.3;12.9;;1948q4;1.7;0.4;;
1937;9.6;5.1;;1949q1;-7.3;-5.4;;
1938;-6.1;-3.3;;1949q2;-5.2;-1.3;;
1939;7.0;8.0;;1949q3;2.3;4.5;;
1940;10.1;8.8;;1949q4;-3.3;-3.5;;
1941;25.7;17.7;;1950q1;16.0;16.9;;
1942;28.3;18.9;;1950q2;14.3;12.7;;
1943;22.4;17.0;;1950q3;26.8;16.3;;
1944;10.5;8.0;;1950q4;16.2;8.0;;
1945;1.6;-1.0;;1951q1;21.6;5.6;;
1946;-0.2;-11.6;;1951q2;10.0;7.1;;
1947;9.7;-1.1;;1951q3;8.8;8.5;;
1948;9.9;4.1;;1951q4;5.6;0.9;;
1949;-0.7;-0.5;;1952q1;4.1;4.3;;
1950;10.0;8.7;;1952q2;1.4;0.8;;
1951;15.7;8.1;;1952q3;7.6;2.9;;
1952;5.9;4.1;;1952q4;15.1;13.8;;
1953;6.0;4.7;;1953q1;7.8;7.7;;
1954;0.4;-0.6;;1953q2;4.0;3.2;;
1955;9.0;7.1;;1953q3;-0.6;-2.2;;
1956;5.6;2.1;;1953q4;-5.2;-5.9;;
1957;5.5;2.1;;1954q1;-0.6;-1.8;;
1958;1.5;-0.7;;1954q2;0.8;0.4;;
1959;8.4;6.9;;1954q3;5.1;4.6;;
1960;4.0;2.6;;1954q4;9.2;8.0;;
1961;3.7;2.6;;1955q1;14.1;11.9;;
1962;7.4;6.1;;1955q2;8.4;6.7;;
1963;5.5;4.4;;1955q3;8.5;5.5;;
1964;7.4;5.8;;1955q4;6.5;2.4;;
1965;8.4;6.5;;1956q1;2.5;-1.5;;
1966;9.6;6.6;;1956q2;5.8;3.4;;
1967;5.7;2.7;;1956q3;4.7;-0.3;;
1968;9.4;4.9;;1956q4;8.5;6.7;;
1969;8.2;3.1;;1957q1;8.3;2.6;;
1970;5.5;0.2;;1957q2;1.9;-0.9;;
1971;8.5;3.3;;1957q3;6.5;4.0;;
1972;9.8;5.2;;1957q4;-3.8;-4.0;;
1973;11.4;5.6;;1958q1;-6.0;-10.0;;
1974;8.4;-0.5;;1958q2;3.8;2.6;;
1975;9.0;-0.2;;1958q3;12.3;9.6;;
1976;11.2;5.4;;1958q4;11.8;9.7;;
1977;11.1;4.6;;1959q1;8.8;7.7;;
1978;13.0;5.6;;1959q2;10.7;10.1;;
1979;11.7;3.2;;1959q3;0.7;-0.8;;
1980;8.8;-0.2;;1959q4;3.2;1.6;;
1981;12.2;2.6;;1960q1;11.0;9.2;;
1982;4.2;-1.9;;1960q2;-0.5;-1.5;;
